name,matched_name,match_score,height,preferred_foot
Arjen Robben,arjen robben,100.0,180.0,left
Stefan Kieling,stefan kiealing,96.55172413793103,191.0,right
Zvjezdan Misimovic,zvjezdan misimovic,100.0,179.0,both
Edin Dzeko,,0.0,,
Claudio Pizarro,claudio pizarro,100.0,184.0,right
Paolo Guerrero,,0.0,,
Mesut Ozil,mesut azil,90.0,180.0,left
Naldo,naldo,100.0,198.0,right
Toni Kroos,toni kroos,100.0,183.0,right
Raffael,raffael,100.0,174.0,right
Bastian Schweinsteiger,bastian schweinsteiger,100.0,,
Nuri Sahin,nuri sahin,100.0,180.0,left
Kevin Kuranyi,kevin kuranyi,100.0,,
Burak Kaplan,burak kaplan,100.0,,
Lucas Barrios,lucas barrios,100.0,189.0,right
Ze Roberto,roberto,95.0,192.0,right
Thomas Muller,,0.0,,
Marko Marin,marko marin,100.0,170.0,right
Tranquillo Barnetta,tranquillo barnetta,100.0,,
Eljero Elia,eljero elia,100.0,176.0,right
Carlos Eduardo,carlos eduardo,100.0,171.0,left
Mats Hummels,mats hummels,100.0,191.0,right
Mohamadou Idrissou,,0.0,,
Simon Rolfes,simon rolfes,100.0,191.0,left
Georg Niedermeier,georg niedermeier,100.0,190.0,right
David Jarolim,david jarolim,100.0,174.0,right
Arturo Vidal,arturo vidal,100.0,180.0,right
Jefferson Farfan,jefferson farfa!n,96.96969696969697,178.0,right
Pirmin Schwegler,pirmin schwegler,100.0,178.0,right
Clemens Fritz,clemens fritz,100.0,183.0,right
Javier Pinola,javier pinola,100.0,180.0,left
Sebastian Mielitz,sebastian mielitz,100.0,190.0,right
Per Mertesacker,per mertesacker,100.0,200.0,right
Chinedu Obasi,chinedu obasi,100.0,188.0,right
Andreas Luthe,andreas luthe,100.0,195.0,right
Christian Gentner,christian gentner,100.0,189.0,right
Jakub Blaszczykowski,jakub blaszczykowski,100.0,176.0,right
Radoslav Zabavnik,radoslav zabavnik,100.0,180.0,both
Christian Trasch,christian tra$?sch,94.11764705882352,180.0,right
Patrick Owomoyela,patrick owomoyela,100.0,187.0,right
Mladen Petric,mladen petric,100.0,,
Mark van Bommel,mark van bommel,100.0,186.0,right
Daniel Van Buyten,daniel van buyten,100.0,197.0,right
Sebastian Boenisch,sebastian boenisch,100.0,191.0,right
Mohamed Zidan,,0.0,,
Franck Ribery,,0.0,,
Adrian Ramos,adria!n ramos,96.0,185.0,right
Sami Hyypia,,0.0,,
Torsten Frings,,0.0,,
